date,game_code,game_time,game_status,lineup_status,team,team_code,player_type,player_id,name,batting_order,position,batting_hand,throwing_hand,role
2025-03-25,20250325OBKT02025,"경기 시간
18:30",종료,confirmed,두산,OB,pitcher,67263,최원준,0,투수,,,선발투수
2025-03-25,20250325OBKT02025,"경기 시간
18:30",종료,confirmed,두산,OB,batter,53554,김민석,1,좌익수,좌타,,선발타자
2025-03-25,20250325OBKT02025,"경기 시간
18:30",종료,confirmed,두산,OB,batter,78224,김재환,2,지명타자,좌타,,선발타자
2025-03-25,20250325OBKT02025,"경기 시간
18:30",종료,confirmed,두산,OB,batter,63123,강승호,3,3루수,우타,,선발타자
2025-03-25,20250325OBKT02025,"경기 시간
18:30",종료,confirmed,두산,OB,batter,55208,케이브,4,우익수,좌타,,선발타자
2025-03-25,20250325OBKT02025,"경기 시간
18:30",종료,confirmed,두산,OB,batter,76232,양의지,5,포수,우타,,선발타자
2025-03-25,20250325OBKT02025,"경기 시간
18:30",종료,confirmed,두산,OB,batter,64153,양석환,6,1루수,우타,,선발타자
2025-03-25,20250325OBKT02025,"경기 시간
18:30",종료,confirmed,두산,OB,batter,50208,오명진,7,2루수,좌타,,선발타자
2025-03-25,20250325OBKT02025,"경기 시간
18:30",종료,confirmed,두산,OB,batter,67207,이유찬,8,유격수,우타,,선발타자
2025-03-25,20250325OBKT02025,"경기 시간
18:30",종료,confirmed,두산,OB,batter,79231,정수빈,9,중견수,좌타,,선발타자
2025-03-25,20250325OBKT02025,"경기 시간
18:30",종료,confirmed,KT,KT,pitcher,64001,고영표,0,투수,,,선발투수
2025-03-25,20250325OBKT02025,"경기 시간
18:30",종료,confirmed,KT,KT,batter,68050,강백호,1,지명타자,좌타,,선발타자
2025-03-25,20250325OBKT02025,"경기 시간
18:30",종료,confirmed,KT,KT,batter,67025,로하스,2,우익수,양타,,선발타자
2025-03-25,20250325OBKT02025,"경기 시간
18:30",종료,confirmed,KT,KT,batter,79240,허경민,3,3루수,우타,,선발타자
2025-03-25,20250325OBKT02025,"경기 시간
18:30",종료,confirmed,KT,KT,batter,64004,김민혁,4,좌익수,좌타,,선발타자
2025-03-25,20250325OBKT02025,"경기 시간
18:30",종료,confirmed,KT,KT,batter,78548,장성우,5,포수,우타,,선발타자
2025-03-25,20250325OBKT02025,"경기 시간
18:30",종료,confirmed,KT,KT,batter,50054,천성호,6,2루수,좌타,,선발타자
2025-03-25,20250325OBKT02025,"경기 시간
18:30",종료,confirmed,KT,KT,batter,76313,황재균,7,1루수,우타,,선발타자
2025-03-25,20250325OBKT02025,"경기 시간
18:30",종료,confirmed,KT,KT,batter,64166,배정대,8,중견수,우타,,선발타자
2025-03-25,20250325OBKT02025,"경기 시간
18:30",종료,confirmed,KT,KT,batter,79402,김상수,9,유격수,우타,,선발타자
2025-03-25,20250325WOHT02025,"경기 시간
18:30",종료,confirmed,키움,WO,pitcher,54319,김윤하,0,투수,,우투,선발투수
2025-03-25,20250325WOHT02025,"경기 시간
18:30",종료,confirmed,키움,WO,batter,65357,송성문,1,2루수,좌타,,선발타자
2025-03-25,20250325WOHT02025,"경기 시간
18:30",종료,confirmed,키움,WO,batter,52366,푸이그,2,지명타자,우타,,선발타자
2025-03-25,20250325WOHT02025,"경기 시간
18:30",종료,confirmed,키움,WO,batter,50167,이주형,3,중견수,좌타,,선발타자
2025-03-25,20250325WOHT02025,"경기 시간
18:30",종료,confirmed,키움,WO,batter,54444,카디네스,4,우익수,우타,,선발타자
2025-03-25,20250325WOHT02025,"경기 시간
18:30",종료,confirmed,키움,WO,batter,76267,최주환,5,1루수,좌타,,선발타자
2025-03-25,20250325WOHT02025,"경기 시간
18:30",종료,confirmed,키움,WO,batter,53344,김동헌,6,포수,우타,,선발타자
2025-03-25,20250325WOHT02025,"경기 시간
18:30",종료,confirmed,키움,WO,batter,50357,박주홍,7,좌익수,좌타,,선발타자
2025-03-25,20250325WOHT02025,"경기 시간
18:30",종료,confirmed,키움,WO,batter,64984,김태진,8,유격수,좌타,,선발타자
2025-03-25,20250325WOHT02025,"경기 시간
18:30",종료,confirmed,키움,WO,batter,55392,어준서,9,3루수,좌타,,선발타자
2025-03-25,20250325WOHT02025,"경기 시간
18:30",종료,confirmed,KIA,HT,pitcher,55633,올러,0,투수,,우투,선발투수
2025-03-25,20250325WOHT02025,"경기 시간
18:30",종료,confirmed,KIA,HT,batter,64646,박찬호,1,유격수,우타,,선발타자
2025-03-25,20250325WOHT02025,"경기 시간
18:30",종료,confirmed,KIA,HT,batter,55645,위즈덤,2,3루수,우타,,선발타자
2025-03-25,20250325WOHT02025,"경기 시간
18:30",종료,confirmed,KIA,HT,batter,62947,나성범,3,우익수,좌타,,선발타자
2025-03-25,20250325WOHT02025,"경기 시간
18:30",종료,confirmed,KIA,HT,batter,72443,최형우,4,지명타자,좌타,,선발타자
2025-03-25,20250325WOHT02025,"경기 시간
18:30",종료,confirmed,KIA,HT,batter,78603,김선빈,5,2루수,우타,,선발타자
2025-03-25,20250325WOHT02025,"경기 시간
18:30",종료,confirmed,KIA,HT,batter,63260,이우성,6,좌익수,우타,,선발타자
2025-03-25,20250325WOHT02025,"경기 시간
18:30",종료,confirmed,KIA,HT,batter,78168,서건창,7,1루수,좌타,,선발타자
2025-03-25,20250325WOHT02025,"경기 시간
18:30",종료,confirmed,KIA,HT,batter,78122,김태군,8,포수,우타,,선발타자
2025-03-25,20250325WOHT02025,"경기 시간
18:30",종료,confirmed,KIA,HT,batter,66606,최원준,9,중견수,좌타,,선발타자
2025-03-26,20250326HHLG02025,"경기 시간
18:30",종료,confirmed,한화,HH,pitcher,65056,엄상백,0,투수,,,선발투수
2025-03-26,20250326HHLG02025,"경기 시간
18:30",종료,confirmed,한화,HH,batter,66704,김태연,1,좌익수,우타,,선발타자
2025-03-26,20250326HHLG02025,"경기 시간
18:30",종료,confirmed,한화,HH,batter,53764,문현빈,2,지명타자,좌타,,선발타자
2025-03-26,20250326HHLG02025,"경기 시간
18:30",종료,confirmed,한화,HH,batter,55734,플로리얼,3,중견수,좌타,,선발타자
2025-03-26,20250326HHLG02025,"경기 시간
18:30",종료,confirmed,한화,HH,batter,69737,노시환,4,3루수,우타,,선발타자
2025-03-26,20250326HHLG02025,"경기 시간
18:30",종료,confirmed,한화,HH,batter,79192,채은성,5,1루수,우타,,선발타자
2025-03-26,20250326HHLG02025,"경기 시간
18:30",종료,confirmed,한화,HH,batter,54795,황영묵,6,2루수,좌타,,선발타자
2025-03-26,20250326HHLG02025,"경기 시간
18:30",종료,confirmed,한화,HH,batter,50704,임종찬,7,우익수,좌타,,선발타자
2025-03-26,20250326HHLG02025,"경기 시간
18:30",종료,confirmed,한화,HH,batter,76812,이재원,8,포수,우타,,선발타자
2025-03-26,20250326HHLG02025,"경기 시간
18:30",종료,confirmed,한화,HH,batter,64006,심우준,9,유격수,우타,,선발타자
2025-03-26,20250326HHLG02025,"경기 시간
18:30",종료,confirmed,LG,LG,pitcher,61101,임찬규,0,투수,,우투,선발투수
2025-03-26,20250326HHLG02025,"경기 시간
18:30",종료,confirmed,LG,LG,batter,66108,홍창기,1,우익수,좌타,,선발타자
2025-03-26,20250326HHLG02025,"경기 시간
18:30",종료,confirmed,LG,LG,batter,68119,문성주,2,좌익수,좌타,,선발타자
2025-03-26,20250326HHLG02025,"경기 시간
18:30",종료,confirmed,LG,LG,batter,53123,오스틴,3,1루수,우타,,선발타자
2025-03-26,20250326HHLG02025,"경기 시간
18:30",종료,confirmed,LG,LG,batter,69102,문보경,4,3루수,좌타,,선발타자
2025-03-26,20250326HHLG02025,"경기 시간
18:30",종료,confirmed,LG,LG,batter,79109,오지환,5,유격수,좌타,,선발타자
